16 4.6 0.12 0.03 -31.672
32 4.55 0.26 0.06 -24.861
64 4.51 0.52 0.12 -18.763
128 4.61 1.07 0.23 -12.686
256 4.58 1.97 0.43 -7.328
512 4.48 3.07 0.69 -3.283
1024 3.98 3.58 0.90 -0.920
2048 4.48 4.33 0.97 -0.296
4096 4.42 4.39 0.99 -0.059
8192 4.41 4.4 1.00 -0.020
16384 4.48 4.49 1.00 0.019
32768 4.21 4.22 1.00 0.021
65536 4.19 4.29 1.02 0.205
131072 3.97 4.05 1.02 0.173
209000 3.93 2.7 0.69 -3.261
