51 100 0.36 0.64 1.96 1.78
100 200 0.68 1.29 2.00 1.90
5100 10000 2.55 4.94 1.96 1.94
10000 20000 2.54 5.28 2.00 2.08
20000 40000 2.97 5.69 2.00 1.92
50000 100000 2.5 5.37 2.00 2.15
